Id,Label
+ Doctor Dolittle,+ Doctor Dolittle
+ Speed 2: Cruise Control,+ Speed 2: Cruise Control
- The Ice Storm,- The Ice Storm
"+ 20,000 Leagues Under the Sea","+ 20,000 Leagues Under the Sea"
- Babel,- Babel
+ The Haunting,+ The Haunting
- Drive,- Drive
- Tarzan,- Tarzan
- City Slickers,- City Slickers
- 25th Hour,- 25th Hour
- Final Destination,- Final Destination
- Sleeping Beauty,- Sleeping Beauty
- Elf,- Elf
- Invasion of the Body Snatchers,- Invasion of the Body Snatchers
- Easy Rider,- Easy Rider
- The Evil Dead,- The Evil Dead
- The Grifters,- The Grifters
- My Left Foot: The Story of Christy Brown,- My Left Foot: The Story of Christy Brown
- Glengarry Glen Ross,- Glengarry Glen Ross
- Wonder Boys,- Wonder Boys
- Blood Simple,- Blood Simple
- Argo,- Argo
- Zootopia,- Zootopia
+ She's All That,+ She's All That
- Moonrise Kingdom,- Moonrise Kingdom
- Mr. Smith Goes to Washington,- Mr. Smith Goes to Washington
- Repo Man,- Repo Man
- A Room with a View,- A Room with a View
- The Apartment,- The Apartment
- Ghost World,- Ghost World
- The Prince of Egypt,- The Prince of Egypt
- Matchstick Men,- Matchstick Men
- Dolores Claiborne,- Dolores Claiborne
- Bound,- Bound
- The Virgin Suicides,- The Virgin Suicides
- Star Trek Into Darkness,- Star Trek Into Darkness
- Tropic Thunder,- Tropic Thunder
- Network,- Network
- Finding Forrester,- Finding Forrester
- Midnight Cowboy,- Midnight Cowboy
- Secrets & Lies,- Secrets & Lies
- Dirty Harry,- Dirty Harry
- Life of Pi,- Life of Pi
- The Hobbit: The Desolation of Smaug,- The Hobbit: The Desolation of Smaug
- The Omen,- The Omen
- Double Indemnity,- Double Indemnity
- Smoke,- Smoke
- Courage Under Fire,- Courage Under Fire
- Dial M for Murder,- Dial M for Murder
- On the Waterfront,- On the Waterfront
- Do the Right Thing,- Do the Right Thing
- The Wrestler,- The Wrestler
+ Anaconda,+ Anaconda
- The Name of the Rose,- The Name of the Rose
- Rebel Without a Cause,- Rebel Without a Cause
- Miller's Crossing,- Miller's Crossing
- The Big Sleep,- The Big Sleep
- The Treasure of the Sierra Madre,- The Treasure of the Sierra Madre
- Strangers on a Train,- Strangers on a Train
- The Red Violin,- The Red Violin
- Testing Line
